2019-05-25 17:16:35 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  10,3; Parcels:      0; Health:  95.0; Health Usage: 100.0; Fuel: 235.0; Tile: ROAD
2019-05-25 17:16:35 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  11,3; Parcels:      0; Health:  95.0; Health Usage: 100.0; Fuel: 234.0; Tile: ROAD
2019-05-25 17:16:35 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  11,4; Parcels:      0; Health:  95.0; Health Usage: 100.0; Fuel: 233.0; Tile: ROAD
2019-05-25 17:16:35 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  11,5; Parcels:      0; Health:  95.0; Health Usage: 100.0; Fuel: 232.0; Tile: ROAD
2019-05-25 17:16:36 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:  11,5; Parcels:      0; Health:  90.0; Health Usage: 100.0; Fuel: 231.0; Tile: ROAD
2019-05-25 17:16:36 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:  11,5; Parcels:      0; Health:  90.0; Health Usage: 100.0; Fuel: 231.0; Tile: ROAD
2019-05-25 17:16:36 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:  11,5; Parcels:      0; Health:  90.0; Health Usage: 100.0; Fuel: 231.0; Tile: ROAD
2019-05-25 17:16:36 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:  11,5; Parcels:      0; Health:  90.0; Health Usage: 100.0; Fuel: 231.0; Tile: ROAD
2019-05-25 17:16:37 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:  11,5; Parcels:      0; Health:  90.0; Health Usage: 100.0; Fuel: 231.0; Tile: ROAD
2019-05-25 17:16:37 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:  11,5; Parcels:      0; Health:  90.0; Health Usage: 100.0; Fuel: 231.0; Tile: ROAD
2019-05-25 17:16:37 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:  11,5; Parcels:      0; Health:  90.0; Health Usage: 100.0; Fuel: 231.0; Tile: ROAD
2019-05-25 17:16:37 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:  11,5; Parcels:      0; Health:  90.0; Health Usage: 100.0; Fuel: 231.0; Tile: ROAD
2019-05-25 17:16:38 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:  11,5; Parcels:      0; Health:  85.0; Health Usage: 100.0; Fuel: 230.0; Tile: ROAD
2019-05-25 17:16:38 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:  11,5; Parcels:      0; Health:  85.0; Health Usage: 100.0; Fuel: 230.0; Tile: ROAD
2019-05-25 17:16:38 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:  11,5; Parcels:      0; Health:  85.0; Health Usage: 100.0; Fuel: 230.0; Tile: ROAD
2019-05-25 17:16:38 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:  11,5; Parcels:      0; Health:  85.0; Health Usage: 100.0; Fuel: 230.0; Tile: ROAD
2019-05-25 17:16:39 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:  11,5; Parcels:      0; Health:  85.0; Health Usage: 100.0; Fuel: 230.0; Tile: ROAD
2019-05-25 17:16:39 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:  11,5; Parcels:      0; Health:  85.0; Health Usage: 100.0; Fuel: 230.0; Tile: ROAD
2019-05-25 17:16:39 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:  11,5; Parcels:      0; Health:  85.0; Health Usage: 100.0; Fuel: 230.0; Tile: ROAD
2019-05-25 17:16:39 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:  11,5; Parcels:      0; Health:  85.0; Health Usage: 100.0; Fuel: 230.0; Tile: ROAD
2019-05-25 17:16:40 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  11,4; Parcels:      0; Health:  85.0; Health Usage: 100.0; Fuel: 229.0; Tile: ROAD
2019-05-25 17:16:40 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  11,3; Parcels:      0; Health:  85.0; Health Usage: 100.0; Fuel: 228.0; Tile: ROAD
2019-05-25 17:16:40 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  11,2; Parcels:      0; Health:  85.0; Health Usage: 100.0; Fuel: 227.0; Tile: ROAD
2019-05-25 17:16:40 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:  11,2; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 226.0; Tile: ROAD
2019-05-25 17:16:41 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:  11,2; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 226.0; Tile: ROAD
2019-05-25 17:16:41 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:  11,2; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 226.0; Tile: ROAD
2019-05-25 17:16:41 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:  11,2; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 226.0; Tile: ROAD
2019-05-25 17:16:41 INFO  Car - Speed:   0.0; Angle:  NORTH; Position:  11,2; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 226.0; Tile: ROAD
2019-05-25 17:16:42 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  11,3; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 225.0; Tile: ROAD
2019-05-25 17:16:42 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  11,4; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 224.0; Tile: ROAD
2019-05-25 17:16:42 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  11,5; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 223.0; Tile: ROAD
2019-05-25 17:16:42 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  10,5; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 222.0; Tile: ROAD
2019-05-25 17:16:43 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   9,5; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 221.0; Tile: ROAD
2019-05-25 17:16:43 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   8,5; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 220.0; Tile: ROAD
2019-05-25 17:16:43 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   7,5; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 219.0; Tile: ROAD
2019-05-25 17:16:43 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   6,5; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 218.0; Tile: ROAD
2019-05-25 17:16:44 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   5,5; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 217.0; Tile: ROAD
2019-05-25 17:16:44 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   4,5; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 216.0; Tile: ROAD
2019-05-25 17:16:44 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   3,5; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 215.0; Tile: ROAD
2019-05-25 17:16:44 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   2,5; Parcels:      0; Health:  80.0; Health Usage: 100.0; Fuel: 214.0; Tile: ROAD
